,Date,Value
231,4/30/1995,1216.0
232,5/31/1995,1427.5
233,6/30/1995,1477.2
234,7/31/1995,1255.3
235,8/31/1995,1365.2
236,9/30/1995,1214.4
237,10/31/1995,1226.0
238,11/30/1995,1169.1
239,12/31/1995,1202.6
240,1/31/1996,1050.6
241,2/29/1996,1237.9
242,3/31/1996,1404.4
243,4/30/1996,1359.3
244,5/31/1996,1522.9
245,6/30/1996,1404.2
246,7/31/1996,1317.3
247,8/31/1996,1333.4
248,9/30/1996,1231.4
249,10/31/1996,1296.6
250,11/30/1996,1146.4
251,12/31/1996,1151.8
252,1/31/1997,1114.6
253,2/28/1997,1177.4
254,3/31/1997,1425.9
255,4/30/1997,1310.3
256,5/31/1997,1435.8
257,6/30/1997,1355.0
258,7/31/1997,1376.6
259,8/31/1997,1348.2
260,9/30/1997,1238.5
261,10/31/1997,1282.0
262,11/30/1997,1146.1
263,12/31/1997,1287.7
264,1/31/1998,1044.1
265,2/28/1998,1173.0
266,3/31/1998,1405.5
267,4/30/1998,1390.9
268,5/31/1998,1543.9
269,6/30/1998,1606.6
270,7/31/1998,1264.9
271,8/31/1998,1265.1
272,9/30/1998,1314.4
273,10/31/1998,1407.5
274,11/30/1998,1176.4
275,12/31/1998,1375.0
276,1/31/1999,1123.7
277,2/28/1999,1325.7
278,3/31/1999,1580.2
279,4/30/1999,1451.7
280,5/31/1999,1632.6
281,6/30/1999,1651.4
282,7/31/1999,1529.0
283,8/31/1999,1523.6
284,9/30/1999,1442.5
285,10/31/1999,1396.8
286,11/30/1999,1317.2
287,12/31/1999,1440.6
288,1/31/2000,1239.3
289,2/29/2000,1539.3
290,3/31/2000,1713.0
291,4/30/2000,1538.9
292,5/31/2000,1664.9
293,6/30/2000,1662.7
294,7/31/2000,1468.6
295,8/31/2000,1578.8
296,9/30/2000,1506.3
297,10/31/2000,1367.7
298,11/30/2000,1260.9
299,12/31/2000,1271.2
300,1/31/2001,1196.3
301,2/28/2001,1381.5
302,3/31/2001,1627.8
303,4/30/2001,1377.0
304,5/31/2001,1635.2
305,6/30/2001,1652.2
306,7/31/2001,1374.6
307,8/31/2001,1478.2
308,9/30/2001,1312.5
309,10/31/2001,1753.2
310,11/30/2001,1347.9
311,12/31/2001,1336.1
312,1/31/2002,1130.0
313,2/28/2002,1328.8
314,3/31/2002,1541.2
315,4/30/2002,1471.8
316,5/31/2002,1538.5
317,6/30/2002,1563.9
318,7/31/2002,1552.0
319,8/31/2002,1734.9
320,9/30/2002,1251.0
321,10/31/2002,1331.2
322,11/30/2002,1227.6
323,12/31/2002,1467.7
324,1/31/2003,1108.3
325,2/28/2003,1237.6
326,3/31/2003,1474.8
327,4/30/2003,1436.7
328,5/31/2003,1601.1
329,6/30/2003,1502.3
330,7/31/2003,1538.8
331,8/31/2003,1656.2
332,9/30/2003,1329.5
333,10/31/2003,1333.5
334,11/30/2003,1285.4
335,12/31/2003,1463.3
336,1/31/2004,1149.6
337,2/29/2004,1303.7
338,3/31/2004,1540.3
339,4/30/2004,1455.7
340,5/31/2004,1660.8
341,6/30/2004,1480.7
342,7/31/2004,1589.2
343,8/31/2004,1463.3
344,9/30/2004,1470.1
345,10/31/2004,1370.1
346,11/30/2004,1231.2
347,12/31/2004,1583.6
348,1/31/2005,1095.8
349,2/28/2005,1286.1
350,3/31/2005,1616.0
351,4/30/2005,1542.0
352,5/31/2005,1537.3
353,6/30/2005,1720.1
354,7/31/2005,1845.7
355,8/31/2005,1524.2
356,9/30/2005,1367.0
357,10/31/2005,1184.2
358,11/30/2005,1200.7
359,12/31/2005,1525.7
360,1/31/2006,1176.1
361,2/28/2006,1298.0
362,3/31/2006,1576.7
363,4/30/2006,1489.8
364,5/31/2006,1533.7
365,6/30/2006,1545.2
366,7/31/2006,1531.1
367,8/31/2006,1530.0
368,9/30/2006,1394.1
369,10/31/2006,1260.6
370,11/30/2006,1236.6
371,12/31/2006,1476.4
372,1/31/2007,1124.2
373,2/28/2007,1285.1
374,3/31/2007,1574.9
375,4/30/2007,1366.0
376,5/31/2007,1590.2
377,6/30/2007,1481.3
378,7/31/2007,1331.1
379,8/31/2007,1500.4
380,9/30/2007,1335.8
381,10/31/2007,1256.5
382,11/30/2007,1200.4
383,12/31/2007,1414.1
384,1/31/2008,1063.4
385,2/29/2008,1196.5
386,3/31/2008,1378.6
387,4/30/2008,1273.0
388,5/31/2008,1420.5
389,6/30/2008,1212.6
390,7/31/2008,1156.0
391,8/31/2008,1269.1
392,9/30/2008,984.6
393,10/31/2008,859.0
394,11/30/2008,763.9
395,12/31/2008,916.2
396,1/31/2009,670.4
397,2/28/2009,701.7
398,3/31/2009,872.8
399,4/30/2009,832.7
400,5/31/2009,938.4
401,6/30/2009,874.9
402,7/31/2009,1011.8
403,8/31/2009,1274.6
404,9/30/2009,759.6
405,10/31/2009,854.0
406,11/30/2009,761.8
407,12/31/2009,1049.3
408,1/31/2010,712.5
409,2/28/2010,793.3
410,3/31/2010,1083.9
411,4/30/2010,997.3
412,5/31/2010,1117.6
413,6/30/2010,1000.5
414,7/31/2010,1065.7
415,8/31/2010,1011.5
416,9/30/2010,974.0
417,10/31/2010,965.2
418,11/30/2010,888.0
419,12/31/2010,1162.9
420,1/31/2011,836.4
421,2/28/2011,1007.1
422,3/31/2011,1276.8
423,4/30/2011,1173.5
424,5/31/2011,1081.3
425,6/30/2011,1071.2
426,7/31/2011,1086.1
427,8/31/2011,1094.5
428,9/30/2011,1076.0
429,10/31/2011,1048.3
430,11/30/2011,1028.8
431,12/31/2011,1268.5
432,1/31/2012,938.2
433,2/29/2012,1175.8
434,3/31/2012,1434.0
435,4/30/2012,1204.5
436,5/31/2012,1369.5
437,6/30/2012,1310.2
438,7/31/2012,1171.8
439,8/31/2012,1305.3
440,9/30/2012,1206.2
441,10/31/2012,1119.1
442,11/30/2012,1169.8
443,12/31/2012,1375.1
444,1/31/2013,1065.8
445,2/28/2013,1217.9
446,3/31/2013,1479.4
447,4/30/2013,1313.8
448,5/31/2013,1473.3
449,6/30/2013,1425.8
450,7/31/2013,1335.8
451,8/31/2013,1527.5
452,9/30/2013,1152.8
453,10/31/2013,1235.5
454,11/30/2013,1271.4
455,12/31/2013,1383.7
456,1/31/2014,1043.0
457,2/28/2014,1221.4
458,3/31/2014,1562.7
459,4/30/2014,1408.2
460,5/31/2014,1644.4
461,6/30/2014,1451.8
462,7/31/2014,1474.0
463,8/31/2014,1607.3
464,9/30/2014,1272.0
465,10/31/2014,1312.3
466,11/30/2014,1324.1
467,12/31/2014,1538.5
468,1/31/2015,1177.9
469,2/28/2015,1285.1
470,3/31/2015,1579.6
471,4/30/2015,1479.3
472,5/31/2015,1668.5
473,6/30/2015,1518.7
474,7/31/2015,1546.8
475,8/31/2015,1598.3
476,9/30/2015,1474.9
477,10/31/2015,1486.4
478,11/30/2015,1358.8
479,12/31/2015,1671.3
480,1/31/2016,1188.8
481,2/29/2016,1374.3
482,3/31/2016,1614.1
483,4/30/2016,1524.1
484,5/31/2016,1552.7
485,6/30/2016,1548.9
486,7/31/2016,1546.8
487,8/31/2016,1539.8
488,9/30/2016,1462.1
489,10/31/2016,1397.1
490,11/30/2016,1399.4
491,12/31/2016,1717.9
492,1/31/2017,1164.3
493,2/28/2017,1352.1
494,3/31/2017,1582.7
495,4/30/2017,1449.7
496,5/31/2017,1543.9
497,6/30/2017,1502.8
498,7/31/2017,1441.0
499,8/31/2017,1512.1
500,9/30/2017,1553.1
501,10/31/2017,1385.6
502,11/30/2017,1424.5
503,12/31/2017,1638.7
